Wight Wildling Girl,Jon Snow,{'weight': 9}
Wight Wildling Girl,Meera Reed,{'weight': 4}
Wight Wildling Girl,Jeor Mormont,{'weight': 2}
Wight Wildling Girl,Catelyn Stark,{'weight': 1}
Wight Wildling Girl,Tyrion Lannister,{'weight': 3}
Wight Wildling Girl,Khal Drogo,{'weight': 3}
Wight Wildling Girl,Benjen Stark,{'weight': 2}
Wight Wildling Girl,Daario Naharis,{'weight': 1}
Wight Wildling Girl,Maester Wolkan,{'weight': 1}
Wight Wildling Girl,Samwell Tarly,{'weight': 1}
Wight Wildling Girl,Gendry,{'weight': 3}
Wight Wildling Girl,Stannis Baratheon,{'weight': 2}
Wight Wildling Girl,Petyr Baelish,{'weight': 1}
Wight Wildling Girl,Jojen Reed,{'weight': 1}
Wight Wildling Girl,Melisandre,{'weight': 3}
Wight Wildling Girl,Ellaria Sand,{'weight': 1}
Wight Wildling Girl,Varys,{'weight': 1}
Wight Wildling Girl,Hodor,{'weight': 2}
Wight Wildling Girl,Ramsay Snow/Bolton,{'weight': 1}
Wight Wildling Girl,Randyll Tarly,{'weight': 2}
Wight Wildling Girl,Ygritte,{'weight': 2}
Wight Wildling Girl,Leaf,{'weight': 1}
Wight Wildling Girl,Jorah Mormont,{'weight': 4}
Wight Wildling Girl,The Night King,{'weight': 3}
Wight Wildling Girl,Mance Rayder,{'weight': 4}
Wight Wildling Girl,Gared,{'weight': 1}
Wight Wildling Girl,Wildling Rioter,{'weight': 4}
Wight Wildling Girl,Shireen Baratheon,{'weight': 1}
Wight Wildling Girl,Waymar Royce,{'weight': 1}
Wight Wildling Girl,Aegon Targaryen,{'weight': 1}
Wight Wildling Girl,Rickard Stark,{'weight': 2}
Wight Wildling Girl,Thenn Warg,{'weight': 1}
Wight Wildling Girl,Tywin Lannister,{'weight': 1}
Wight Wildling Girl,Maester Aemon,{'weight': 1}
Wight Wildling Girl,Joffrey Baratheon,{'weight': 2}
Wight Wildling Girl,Ned Umber,{'weight': 4}
Wight Wildling Girl,Eddison Tollett,{'weight': 3}
Wight Wildling Girl,Beric Dondarrion,{'weight': 4}
Wight Wildling Girl,Tormund Giantsbane,{'weight': 6}
Wight Wildling Girl,Davos Seaworth,{'weight': 5}
Wight Wildling Girl,Cersei Lannister,{'weight': 4}
Wight Wildling Girl,Mag the Mighty,{'weight': 1}
Wight Wildling Girl,Dany,{'weight': 2}
Wight Wildling Girl,Wun Wun,{'weight': 1}
Wight Wildling Girl,Aerys II Targaryen,{'weight': 2}
Wight Wildling Girl,Lyanna Mormont,{'weight': 1}
Wight Wildling Girl,Summer,{'weight': 2}
Wight Wildling Girl,Three-Eyed Raven,{'weight': 5}
Wight Wildling Girl,Drogon,{'weight': 3}
Wight Wildling Girl,Alys Karstark,{'weight': 1}
Wight Wildling Girl,Brandon Stark,{'weight': 1}
Wight Wildling Girl,Eddard Stark,{'weight': 3}
Wight Wildling Girl,Daenerys Targaryen,{'weight': 4}
Wight Wildling Girl,Sandor Clegane,{'weight': 2}
Wight Wildling Girl,Baby Sam,{'weight': 2}
Wight Wildling Girl,Podrick Payne,{'weight': 1}
Littlefinger,Margaery Tyrell,{'weight': 7}
Littlefinger,Rickon Stark,{'weight': 2}
Littlefinger,Dontos Hollard,{'weight': 1}
Littlefinger,Daisy,{'weight': 1}
Littlefinger,Jon Snow,{'weight': 5}
Littlefinger,Grand Maester Pycelle,{'weight': 7}
Littlefinger,Harald Karstark,{'weight': 1}
Littlefinger,Joffrey Baratheon,{'weight': 18}
Littlefinger,Gregor Clegane,{'weight': 4}
Littlefinger,Catelyn Stark,{'weight': 8}
Littlefinger,Three-Eyed Raven,{'weight': 2}
Littlefinger,Bronn,{'weight': 5}
Littlefinger,Eddison Tollett,{'weight': 1}
Littlefinger,Sandor Clegane,{'weight': 7}
