name,ConnectedTwo
Northman Rioter,"[(('season2', 'A_Man_Without_Honor', 'Beyond the Wall'), {'Ned Umber', 'Ygritte', 'Qhorin Halfhand', 'Jon Snow', 'Northman Rioter', 'Wildling Rioter'})]"
Nymeria,"[(('season1', 'Winter_Is_Coming', 'In the North'), {'Rickon Stark', 'Jaime Lannister', 'Robb Stark', 'Joffrey Baratheon', 'Grey Wind', 'Lysa Arryn', 'Cersei Lannister', 'Robert Baratheon', 'Maester Luwin', 'Rodrik Cassel', 'Shaggydog', 'Sansa Stark', 'Jory Cassel', 'Benjen Stark', 'Ned Umber', 'Eddard Stark', 'Catelyn Stark', 'Ros', 'Summer', 'Nymeria', 'Bran Stark', 'Rhaegar Targaryen', 'Lyanna Stark', 'Theon Greyjoy', 'Will', 'Tyrion Lannister', 'Jon Arryn', 'Jon Snow', 'Arya Stark'}), (('season1', 'The_Kingsroad', 'At the Inn at the Crossroads'), {'Mycah', 'Sandor Clegane', 'Ned Umber', 'Joffrey Baratheon', 'Eddard Stark', 'Nymeria', 'Sansa Stark', 'Ilyn Payne', 'Cersei Lannister', 'Bran Stark', 'Arya Stark'}), (('season5', 'Sons_of_the_Harpy_(episode)', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Pentoshi Servant', 'Tyrion Lannister', 'Varys', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Cersei Lannister', 'Tyene Sand', 'Nymeria', 'Tywin Lannister'}), (('season5', 'The_Dance_of_Dragons', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Tyene Sand', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Cersei Lannister', 'Tommen Baratheon', 'Nymeria', 'Areo Hotah', 'Tywin Lannister'}), (('season5', 'The_Gift', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Doran Martell', 'Trystane Martell', 'Tyene Sand', 'Nymeria', 'Areo Hotah'}), (('season5', 'Unbowed,_Unbent,_Unbroken', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Tyene Sand', 'Nymeria', 'Areo Hotah'}), (('Season_7', 'Stormborn', 'In the Riverlands'), {'Lothar Frey', 'Walder Frey', 'Brienne of Tarth', 'Hot Pie', 'Jon Snow', 'Cersei Lannister', 'Nymeria', 'Arya Stark'}), (('Season_7', 'Stormborn', 'On the Narrow Sea'), {'Euron Greyjoy', 'Theon Greyjoy', 'Ramsay Snow/Bolton', 'Obara Sand', 'Ellaria Sand', 'Yara Greyjoy', 'Tyene Sand', 'Nymeria'}), (('Season_6', 'The_Red_Woman', ""In King's Landing""), {'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Maggy', 'Mag the Mighty', 'Loras Tyrell', 'High Sparrow', 'Cersei Lannister', 'Trystane Martell', 'Nymeria'})]"
Obara Sand,"[(('season5', 'Sons_of_the_Harpy_(episode)', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Pentoshi Servant', 'Tyrion Lannister', 'Varys', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Cersei Lannister', 'Tyene Sand', 'Nymeria', 'Tywin Lannister'}), (('season5', 'The_Dance_of_Dragons', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Tyene Sand', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Cersei Lannister', 'Tommen Baratheon', 'Nymeria', 'Areo Hotah', 'Tywin Lannister'}), (('season5', 'The_Gift', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Doran Martell', 'Trystane Martell', 'Tyene Sand', 'Nymeria', 'Areo Hotah'}), (('season5', 'Unbowed,_Unbent,_Unbroken', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Tyene Sand', 'Nymeria', 'Areo Hotah'}), (('Season_7', 'Stormborn', 'On the Narrow Sea'), {'Euron Greyjoy', 'Theon Greyjoy', 'Ramsay Snow/Bolton', 'Obara Sand', 'Ellaria Sand', 'Yara Greyjoy', 'Tyene Sand', 'Nymeria'}), (('Season_6', 'The_Red_Woman', ""In King's Landing""), {'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Maggy', 'Mag the Mighty', 'Loras Tyrell', 'High Sparrow', 'Cersei Lannister', 'Trystane Martell', 'Nymeria'})]"
Oberyn Martell,"[(('season4', 'Breaker_of_Chains', ""At King's Landing""), {'Jaime Lannister', 'Joffrey Baratheon', 'Olyvar', 'Varys', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Littlefinger', 'Bronn', 'Sansa Stark', 'Shae', 'Wildling Rioter', 'Aegon Targaryen', 'Elia Martell', 'Ellaria Sand', 'Dontos Hollard', 'Petyr Baelish', 'Tommen Baratheon', 'Tyrion Lannister', 'Oberyn Martell'}), (('season4', 'The_Lion_and_the_Rose', ""At King's Landing""), {'Jaime Lannister', 'Robb Stark', 'Renly Baratheon', 'Mace Tyrell', 'Joffrey Baratheon', 'Varys', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Balon Greyjoy', 'Bronn', 'Septon', 'Stannis Baratheon', 'Sansa Stark', 'Shae', 'Loras Tyrell', 'Dontos Hollard', 'Margaery Tyrell', 'Tommen Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Oberyn Martell', 'High Septon'}), (('season4', 'Two_Swords', ""In King's Landing""), {'Jaime Lannister', 'Renly Baratheon', 'Joffrey Baratheon', 'Olyvar', 'Varys', 'Doran Martell', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Bronn', 'Brienne of Tarth', 'Stannis Baratheon', 'Marei', 'Sansa Stark', 'Shae', 'Aegon Targaryen', 'Elia Martell', 'Rhaenys Targaryen', 'Eddard Stark', 'Catelyn Stark', 'Ellaria Sand', 'Margaery Tyrell', 'Dontos Hollard', 'Petyr Baelish', 'Gregor Clegane', 'Meryn Trant', 'Tyrion Lannister', 'Olenna Tyrell', 'Oberyn Martell', 'Qyburn'}), (('season4', 'Mockingbird', ""At King's Landing""), {'Tywin Lannister', 'Bronn', 'Jaime Lannister', 'Tyrion Lannister', 'Oberyn Martell', 'Cersei Lannister', 'Gregor Clegane', 'The Mountain', 'Lollys Stokeworth', 'Elia Martell'}), (('season4', 'The_Laws_of_Gods_and_Men', ""At King's Landing""), {'Tywin Lannister', 'Lord Varys', 'Jaime Lannister', 'Mace Tyrell', 'Meereen Slave Master', 'Joffrey Baratheon', 'Tyrion Lannister', 'Varys', 'Stannis Baratheon', 'Eddard Stark', 'Grand Maester Pycelle', 'Daenerys Targaryen', 'Sansa Stark', 'Oberyn Martell', 'Cersei Lannister', 'Tommen Baratheon', 'Shae', 'Meryn Trant'}), (('season4', 'First_of_His_Name', ""At King's Landing""), {'Tywin Lannister', 'Septon', 'Myrcella Baratheon', 'Oberyn Martell', 'Cersei Lannister', 'Tommen Baratheon', 'High Septon'}), (('season4', 'The_Children', ""In King's Landing""), {'Qyburn', 'Jaime Lannister', 'Citadel Maester', 'Joffrey Baratheon', 'Tyrion Lannister', 'Varys', 'Grand Maester Pycelle', 'Loras Tyrell', 'Oberyn Martell', 'Cersei Lannister', 'Tommen Baratheon', 'Shae', 'Gregor Clegane', 'Tywin Lannister'}), (('season4', 'The_Mountain_and_the_Viper', ""At King's Landing""), {'Tywin Lannister', 'Jaime Lannister', 'Tyrion Lannister', 'Grand Maester Pycelle', 'Ellaria Sand', 'Oberyn Martell', 'Cersei Lannister', 'Gregor Clegane', 'The Mountain', 'Elia Martell'}), (('season5', 'Sons_of_the_Harpy_(episode)', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Pentoshi Servant', 'Tyrion Lannister', 'Varys', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Cersei Lannister', 'Tyene Sand', 'Nymeria', 'Tywin Lannister'}), (('season5', 'The_House_of_Black_and_White', 'In Dorne'), {'Myrcella Baratheon', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Cersei Lannister', 'Areo Hotah'}), (('season5', 'The_Dance_of_Dragons', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Tyene Sand', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Cersei Lannister', 'Tommen Baratheon', 'Nymeria', 'Areo Hotah', 'Tywin Lannister'}), (('season5', 'Unbowed,_Unbent,_Unbroken', 'In Dorne'), {'Bronn', 'Jaime Lannister', 'Myrcella Baratheon', 'Obara Sand', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Tyene Sand', 'Nymeria', 'Areo Hotah'}), (('Season_7', 'Stormborn', 'On Dragonstone'), {'Varys', 'Dany', 'Cersei Lannister', 'Robert Baratheon', 'Melisandre', 'Myrcella Baratheon', 'Stannis Baratheon', 'Missandei', 'Daenerys Targaryen', 'Wildling Rioter', 'Red Priestess', 'Aerys II Targaryen', 'Ellaria Sand', 'Yara Greyjoy', 'Margaery Tyrell', 'Tyrion Lannister', 'Olenna Tyrell', 'Grey Worm', 'Jon Snow', 'Oberyn Martell'}), (('Season_7', 'The_Queen%27s_Justice', ""In King's Landing""), {'Qyburn', 'Euron Greyjoy', 'Jaime Lannister', 'Myrcella Baratheon', 'Tycho Nestoris', 'Tyrion Lannister', 'Tyene Sand', 'Ellaria Sand', 'Daenerys Targaryen', 'Yara Greyjoy', 'Oberyn Martell', 'Cersei Lannister', 'Tommen Baratheon', 'Gregor Clegane'}), (('Season_7', 'The_Queen%27s_Justice', 'At Highgarden'), {'Bronn', 'Jaime Lannister', 'Euron Greyjoy', 'Robb Stark', 'Joffrey Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Randyll Tarly', 'Daenerys Targaryen', 'Oberyn Martell', 'Cersei Lannister', 'Tywin Lannister'}), (('Season_6', 'The_Red_Woman', 'In Dorne'), {'Myrcella Baratheon', 'Doran Martell', 'Ellaria Sand', 'Oberyn Martell', 'Trystane Martell', 'Tyene Sand', 'Areo Hotah'})]"
Old Nan,"[(('season1', 'Lord_Snow', 'At Winterfell'), {'Bran Stark', 'Robb Stark', 'Old Nan'}), (('Season_6', 'Home', 'Beyond the Wall'), {'Benjen Stark', 'Three-Eyed Raven', 'Leaf', 'Hodor', 'Rodrik Cassel', 'Old Nan', 'Meera Reed', 'Bran Stark'})]"
Old Woman Prisoner,[]
Olenna Tyrell,"[(('season3', 'Dark_Wings,_Dark_Words', ""In King's Landing""), {'Littlefinger', 'Renly Baratheon', 'Mace Tyrell', 'Joffrey Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Ros', 'Sansa Stark', 'Margaery Tyrell', 'Loras Tyrell', 'Cersei Lannister', 'Shae', 'Petyr Baelish'}), (('season3', 'And_Now_His_Watch_Is_Ended', ""In King's Landing""), {'Jaime Lannister', 'Robb Stark', 'Mace Tyrell', 'Joffrey Baratheon', 'Varys', 'Cersei Lannister', 'Robert Baratheon', 'Podrick Payne', 'Tywin Lannister', 'Littlefinger', 'Melisandre', 'Stannis Baratheon', 'Sansa Stark', 'Mandon Moore', 'Red Priestess', 'Ros', 'Loras Tyrell', 'Margaery Tyrell', 'Tyrion Lannister', 'Olenna Tyrell', 'Arya Stark'}), (('season3', 'Kissed_by_Fire', ""In King's Landing""), {'Tywin Lannister', 'Littlefinger', 'Jaime Lannister', 'Robb Stark', 'Theon Greyjoy', 'Joffrey Baratheon', 'Olyvar', 'Olenna Tyrell', 'Stannis Baratheon', 'Tyrion Lannister', 'Sansa Stark', 'Loras Tyrell', 'Margaery Tyrell', 'Cersei Lannister', 'Arya Stark', 'Petyr Baelish'}), (('season3', 'The_Climb', ""In King's Landing""), {'Tywin Lannister', 'Lord Varys', 'Jaime Lannister', 'Joffrey Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Varys', 'Ros', 'Sansa Stark', 'Loras Tyrell', 'Mandon Moore', 'Cersei Lannister', 'Shae', 'Aegon Targaryen', 'Petyr Baelish'}), (('season4', 'Oathkeeper_(episode)', ""At King's Landing""), {'Bronn', 'Jaime Lannister', 'Ned Umber', 'Joffrey Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Catelyn Stark', 'Sansa Stark', 'Cersei Lannister', 'Tommen Baratheon', 'Podrick Payne'}), (('season4', 'The_Lion_and_the_Rose', ""At King's Landing""), {'Jaime Lannister', 'Robb Stark', 'Renly Baratheon', 'Mace Tyrell', 'Joffrey Baratheon', 'Varys', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Balon Greyjoy', 'Bronn', 'Septon', 'Stannis Baratheon', 'Sansa Stark', 'Shae', 'Loras Tyrell', 'Dontos Hollard', 'Margaery Tyrell', 'Tommen Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Oberyn Martell', 'High Septon'}), (('season4', 'Two_Swords', ""In King's Landing""), {'Jaime Lannister', 'Renly Baratheon', 'Joffrey Baratheon', 'Olyvar', 'Varys', 'Doran Martell', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Bronn', 'Brienne of Tarth', 'Stannis Baratheon', 'Marei', 'Sansa Stark', 'Shae', 'Aegon Targaryen', 'Elia Martell', 'Rhaenys Targaryen', 'Eddard Stark', 'Catelyn Stark', 'Ellaria Sand', 'Margaery Tyrell', 'Dontos Hollard', 'Petyr Baelish', 'Gregor Clegane', 'Meryn Trant', 'Tyrion Lannister', 'Olenna Tyrell', 'Oberyn Martell', 'Qyburn'}), (('season5', 'Sons_of_the_Harpy_(episode)', ""In King's Landing""), {'Tommen Baratheon', 'Littlefinger', 'Septon', 'Mace Tyrell', 'Royal Steward', 'Olyvar', 'Olenna Tyrell', 'The High Sparrow', 'Marei', 'Loras Tyrell', 'Lancel Lannister', 'Cersei Lannister', 'High Sparrow', 'Margaery Tyrell', 'Qyburn', 'Meryn Trant', 'High Septon'}), (('season5', 'The_Gift', ""In King's Landing""), {'Littlefinger', 'Lancel Lannister', 'Joffrey Baratheon', 'Olenna Tyrell', 'The High Sparrow', 'Loras Tyrell', 'High Sparrow', 'Cersei Lannister', 'Tommen Baratheon', 'Petyr Baelish'}), (('season5', 'Unbowed,_Unbent,_Unbroken', ""In King's Landing""), {'Tommen Baratheon', 'Robin Arryn', 'Jaime Lannister', 'Roose Bolton', 'Septon', 'Ramsay Snow/Bolton', 'Kevan Lannister', 'Olyvar', 'Olenna Tyrell', 'Stannis Baratheon', 'The High Sparrow', 'Petyr Baelish', 'Sansa Stark', 'High Sparrow', 'Lancel Lannister', 'Cersei Lannister', 'Loras Tyrell', 'High Septon'}), (('Season_7', 'Stormborn', 'On Dragonstone'), {'Varys', 'Dany', 'Cersei Lannister', 'Robert Baratheon', 'Melisandre', 'Myrcella Baratheon', 'Stannis Baratheon', 'Missandei', 'Daenerys Targaryen', 'Wildling Rioter', 'Red Priestess', 'Aerys II Targaryen', 'Ellaria Sand', 'Yara Greyjoy', 'Margaery Tyrell', 'Tyrion Lannister', 'Olenna Tyrell', 'Grey Worm', 'Jon Snow', 'Oberyn Martell'}), (('Season_7', 'Stormborn', ""In King's Landing""), {'Jaime Lannister', 'Meereen Slave Master', 'Olenna Tyrell', 'Randyll Tarly', 'Daenerys Targaryen', 'Cersei Lannister', 'Qyburn', 'Aegon Targaryen'}), (('Season_7', 'The_Queen%27s_Justice', 'At Highgarden'), {'Bronn', 'Jaime Lannister', 'Euron Greyjoy', 'Robb Stark', 'Joffrey Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Randyll Tarly', 'Daenerys Targaryen', 'Oberyn Martell', 'Cersei Lannister', 'Tywin Lannister'}), (('Season_7', 'The_Spoils_of_War', 'In the Reach'), {'Bronn', 'Jaime Lannister', 'Drogon', 'Tyrion Lannister', 'Olenna Tyrell', 'Randyll Tarly', 'Khal Drogo', 'Daenerys Targaryen', 'Dickon Tarly', 'Cersei Lannister', 'Qyburn', 'Qhono'}), (('Season_7', 'Eastwatch', ""In King's Landing""), {'Bronn', 'Davos Seaworth', 'Jaime Lannister', 'Drogon', 'Joffrey Baratheon', 'Tyrion Lannister', 'Olenna Tyrell', 'Gendry', 'Khal Drogo', 'Daenerys Targaryen', 'Dany', 'Cersei Lannister', 'Tommen Baratheon', 'Qyburn', 'Tywin Lannister'}), (('Season_7', 'The_Dragon_and_the_Wolf', ""In King's Landing""), {'Jaime Lannister', 'Varys', 'Rhaegal', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Sandor Clegane', 'Bronn', 'Drogon', 'Myrcella Baratheon', 'Brienne of Tarth', 'Missandei', 'Khal Drogo', 'Daenerys Targaryen', 'Davos Seaworth', 'Viserion', 'Euron Greyjoy', 'Ned Umber', 'Yara Greyjoy', 'Tommen Baratheon', 'Gregor Clegane', 'Theon Greyjoy', 'Tyrion Lannister', 'Olenna Tyrell', 'Mirri Maz Duur', 'Grey Worm', 'Jon Snow', 'Qyburn', 'Arya Stark'}), (('Season_6', 'Oathbreaker', ""At King's Landing""), {'Qyburn', 'Jaime Lannister', 'Myrcella Baratheon', 'Mace Tyrell', 'Kevan Lannister', 'Varys', 'Olenna Tyrell', 'The High Sparrow', 'Grand Maester Pycelle', 'Gerold Hightower', 'Ellaria Sand', 'High Sparrow', 'Loras Tyrell', 'Cersei Lannister', 'Tommen Baratheon', 'Gregor Clegane'}), (('Season_6', 'Book_of_the_Stranger', ""In King's Landing""), {'Tommen Baratheon', 'Jaime Lannister', 'Kevan Lannister', 'Septa Unella', 'Olenna Tyrell', 'The High Sparrow', 'Grand Maester Pycelle', 'High Sparrow', 'Lancel Lannister', 'Cersei Lannister', 'Loras Tyrell', 'Margaery Tyrell'}), (('Season_6', 'Blood_of_My_Blood', ""In King's Landing""), {'Bronn', 'Jaime Lannister', 'Mace Tyrell', 'Walder Frey', 'Septa Unella', 'Olenna Tyrell', 'The High Sparrow', 'Loras Tyrell', 'High Sparrow', 'Cersei Lannister', 'Tommen Baratheon'}), (('Season_6', 'The_Broken_Man', ""In King's Landing""), {'Septa Unella', 'Olenna Tyrell', 'The High Sparrow', 'Loras Tyrell', 'High Sparrow', 'Cersei Lannister', 'Tommen Baratheon'}), (('Season_6', 'The_Winds_of_Winter', 'In Dorne'), {'Varys', 'Olenna Tyrell', 'Doran Martell', 'Ellaria Sand', 'Trystane Martell', 'Cersei Lannister'})]"
Olly,"[(('season4', 'Oathkeeper_(episode)', 'At the Wall'), {'Alliser Thorne', 'Samwell Tarly', 'Gilly', 'Janos Slynt', 'Grenn', 'Baby Sam', 'Eddison Tollett', 'Olly', 'Jon Snow', 'Locke', 'Maester Aemon', 'Bran Stark', 'Craster'}), (('season4', 'The_Watchers_on_the_Wall', 'At the Wall'), {'Alliser Thorne', 'Samwell Tarly', 'Gilly', 'Janos Slynt', 'Mance Rayder', 'Grenn', 'Baby Sam', 'Pypar', 'Eddison Tollett', 'Maester Aemon', 'Ygritte', 'Olly', 'Mag the Mighty', 'Jon Snow', 'Tormund Giantsbane', 'Jeor Mormont', 'Styr', 'Thenn Warg'}), (('season5', 'High_Sparrow_(episode)', 'At the Wall'), {'Alliser Thorne', 'Davos Seaworth', 'Janos Slynt', 'Mance Rayder', 'Ned Umber', 'Baby Sam', 'Stannis Baratheon', 'Eddard Stark', 'Olly', 'Jon Snow', 'Tormund Giantsbane', 'Maester Aemon', 'Robert Baratheon'}), (('season5', 'The_Wars_To_Come', 'At the Wall'), {'Melisandre', 'Mance Rayder', 'Gilly', 'Roose Bolton', 'Stannis Baratheon', 'Olly', 'Shireen Baratheon', 'Jon Snow'}), (('season5', 'Mother%27s_Mercy', 'At the Wall'), {'Melisandre', 'Davos Seaworth', 'Gilly', 'Citadel Maester', 'Baby Sam', 'Stannis Baratheon', 'Olly', 'Shireen Baratheon', 'Jon Snow', 'Wildling Rioter'}), (('season5', 'Hardhome_(episode)', 'At the Wall'), {'Baby Sam', 'Gilly', 'Tormund Giantsbane', 'Olly'}), (('Season_6', 'Home', 'At the Wall'), {'Alliser Thorne', 'Melisandre', 'Davos Seaworth', 'Wun Wun', 'Stannis Baratheon', 'Olly', 'Jon Snow', 'Tormund Giantsbane'}), (('Season_6', 'Oathbreaker', 'At the Wall'), {'Alliser Thorne', 'Melisandre', 'Davos Seaworth', 'Othell Yarwyck', 'Eddison Tollett', 'Stannis Baratheon', 'Olly', 'Jon Snow', 'Tormund Giantsbane', 'Wildling Rioter', 'Bowen Marsh'}), (('Season_6', 'Book_of_the_Stranger', 'At the Wall'), {'Melisandre', 'Davos Seaworth', 'Rickon Stark', 'Renly Baratheon', 'Ramsay Snow/Bolton', 'Brienne of Tarth', 'Eddison Tollett', 'Stannis Baratheon', 'Olly', 'Shireen Baratheon', 'Jon Snow', 'Sansa Stark', 'Tormund Giantsbane', 'Wildling Rioter', 'Podrick Payne'})]"
Olyvar,"[(('season1', 'Baelor', 'In the Riverlands'), {'Bronn', 'Jaime Lannister', 'Robb Stark', 'Theon Greyjoy', 'Walder Frey', 'Olyvar', 'Tyrion Lannister', 'Rodrik Cassel', 'Catelyn Stark', 'Shae', 'Arya Stark', 'Tywin Lannister'}), (('season3', 'Kissed_by_Fire', ""In King's Landing""), {'Tywin Lannister', 'Littlefinger', 'Jaime Lannister', 'Robb Stark', 'Theon Greyjoy', 'Joffrey Baratheon', 'Olyvar', 'Olenna Tyrell', 'Stannis Baratheon', 'Tyrion Lannister', 'Sansa Stark', 'Loras Tyrell', 'Margaery Tyrell', 'Cersei Lannister', 'Arya Stark', 'Petyr Baelish'}), (('season4', 'Breaker_of_Chains', ""At King's Landing""), {'Jaime Lannister', 'Joffrey Baratheon', 'Olyvar', 'Varys', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Littlefinger', 'Bronn', 'Sansa Stark', 'Shae', 'Wildling Rioter', 'Aegon Targaryen', 'Elia Martell', 'Ellaria Sand', 'Dontos Hollard', 'Petyr Baelish', 'Tommen Baratheon', 'Tyrion Lannister', 'Oberyn Martell'}), (('season4', 'Two_Swords', ""In King's Landing""), {'Jaime Lannister', 'Renly Baratheon', 'Joffrey Baratheon', 'Olyvar', 'Varys', 'Doran Martell', 'Cersei Lannister', 'Podrick Payne', 'Tywin Lannister', 'Bronn', 'Brienne of Tarth', 'Stannis Baratheon', 'Marei', 'Sansa Stark', 'Shae', 'Aegon Targaryen', 'Elia Martell', 'Rhaenys Targaryen', 'Eddard Stark', 'Catelyn Stark', 'Ellaria Sand', 'Margaery Tyrell', 'Dontos Hollard', 'Petyr Baelish', 'Gregor Clegane', 'Meryn Trant', 'Tyrion Lannister', 'Olenna Tyrell', 'Oberyn Martell', 'Qyburn'}), (('season5', 'Sons_of_the_Harpy_(episode)', ""In King's Landing""), {'Tommen Baratheon', 'Littlefinger', 'Septon', 'Mace Tyrell', 'Royal Steward', 'Olyvar', 'Olenna Tyrell', 'The High Sparrow', 'Marei', 'Loras Tyrell', 'Lancel Lannister', 'Cersei Lannister', 'High Sparrow', 'Margaery Tyrell', 'Qyburn', 'Meryn Trant', 'High Septon'}), (('season5', 'The_Wars_To_Come', ""In King's Landing""), {'Jaime Lannister', 'Olyvar', 'Tyrion Lannister', 'Loras Tyrell', 'Lancel Lannister', 'Cersei Lannister', 'Robert Baratheon', 'Tywin Lannister'}), (('season5', 'Unbowed,_Unbent,_Unbroken', ""In King's Landing""), {'Tommen Baratheon', 'Robin Arryn', 'Jaime Lannister', 'Roose Bolton', 'Septon', 'Ramsay Snow/Bolton', 'Kevan Lannister', 'Olyvar', 'Olenna Tyrell', 'Stannis Baratheon', 'The High Sparrow', 'Petyr Baelish', 'Sansa Stark', 'High Sparrow', 'Lancel Lannister', 'Cersei Lannister', 'Loras Tyrell', 'High Septon'})]"
Orell,"[(('season3', 'Dark_Wings,_Dark_Words', 'Beyond the Wall'), {'Samwell Tarly', 'Mance Rayder', 'Grenn', 'Baby Sam', 'Ygritte', 'Jon Snow', 'Jeor Mormont', 'Rast', 'Orell'}), (('season3', 'Walk_of_Punishment_(episode)', 'Beyond the Wall'), {'Samwell Tarly', 'Gilly', 'Mance Rayder', 'Baby Sam', 'Jon Snow', 'Tormund Giantsbane', 'Jeor Mormont', 'Orell', 'Craster'}), (('season3', 'Kissed_by_Fire', 'Beyond the Wall'), {'Mance Rayder', 'Ygritte', 'Jon Snow', 'Tormund Giantsbane', 'Thenn Warg', 'Orell'}), (('season3', 'The_Climb', 'Beyond the Wall'), {'Samwell Tarly', 'Gilly', 'Baby Sam', 'Ygritte', 'Jon Snow', 'Tormund Giantsbane', 'Orell', 'Craster'}), (('season3', 'The_Bear_and_the_Maiden_Fair_(episode)', 'In the North'), {'Mance Rayder', 'Theon Greyjoy', 'Ygritte', 'Jon Snow', 'Orell', 'Tormund Giantsbane', 'Jojen Reed', 'Meera Reed', 'Osha', 'Bran Stark'}), (('season3', 'The_Rains_of_Castamere_(episode)', 'In the Gift'), {'Rickon Stark', 'Robb Stark', 'Three-Eyed Raven', 'Ygritte', 'Hodor', 'Summer', 'Jon Snow', 'Shaggydog', 'Orell', 'Tormund Giantsbane', 'Jojen Reed', 'Meera Reed', 'Osha', 'Bran Stark', 'Wildling Rioter'})]"
Ornela,"[(('Season_6', 'Book_of_the_Stranger', 'In Vaes Dothrak'), {'Akho', 'Jorah Mormont', 'Khal Moro', 'Meereen Slave Master', 'Daenerys Targaryen', 'Dany', 'Ornela', 'Daario Naharis', 'High Priestess'})]"
